,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,wef_imort,who_alc2000,who_tobt,wdi_exph,region_recod
24,0.792,BGR,1,13967.45,7.202000141143799,10.5,12.03,36.799999,8.442913055419924,EastEurope
48,0.92299998,DNK,5,37406.762,5.626999855041504,3.0,9.6400003,18.9,10.804957389831538,WesternDem
124,0.64200002,NIC,2,2527.1001,5.946000099182129,20.60000038146973,3.55,,9.040139198303224,LatAm
32,0.34700000000000003,CAF,4,690.03998,,,1.66,,4.2002220153808585,SubSaharian
168,0.93800002,CHE,5,50454.41,8.140000343322754,3.7000000476837163,9.6099997,24.1,11.659268379211431,WesternDem
157,0.67799997,VNM,7,4147.5698,89.69100189208984,18.39999961853027,4.0900002,23.700001,7.0667781829833975,SouthEastAsia
43,0.82300001,HRV,1,18020.41,4.23799991607666,4.0,12.14,36.0,7.803241729736327,EastEurope
181,0.74800003,UKR,1,9326.7197,42.7599983215332,9.199999809265137,8.0600004,30.700001,7.095736026763916,EastEurope
140,0.60299999,TLS,7,1957.8101,1.146000027656555,47.79999923706055,0.5,,1.4753034114837649,SouthEastAsia
117,0.79500002,OMN,3,26158.73,3.717000007629395,10.0,0.40000001,13.5,3.553939580917358,NorthAfrica
12,0.57499999,BGD,8,1796.64,154.6950073242188,33.09999847412109,0.0099999998,21.799999,2.8189985752105713,SouthAsia
71,0.63800001,GUY,10,2042.8199,0.7559999823570251,29.0,7.639999900000001,,5.247803688049316,Caribean
159,,SOM,4,1436.74,,,0.0,,,SubSaharian
21,0.70599997,BLZ,10,6649.1401,0.3499999940395355,15.699999809265142,6.579999900000001,,5.788949966430664,Caribean
54,0.44100001,ETH,4,900.7700199999999,88.34700012207031,46.5,1.86,4.6999998,4.884313106536865,SubSaharian
106,0.43799999,MLI,4,1063.26,14.854000091552729,79.5999984741211,0.61000001,18.6,6.862166404724121,SubSaharian
0,0.479,AFG,8,1282.64,29.82500076293945,,0.0099999998,,8.182273864746094,SouthAsia
55,0.41800001,ERI,4,1007.28,,,0.62,,3.338293075561523,SubSaharian
62,0.76800001,GEO,1,7148.5698,3.7300000190734863,17.79999923706055,6.130000099999999,30.0,7.416659355163574,EastEurope
90,0.89899999,KOR,6,33181.891,50.74700164794922,3.2999999523162837,9.3299999,27.4,7.373112678527832,EastAsia
123,0.91299999,NZL,5,26481.369,4.554999828338623,4.699999809265137,9.069999699999999,17.6,11.02960968017578,WesternDem
4,0.53100002,AGO,4,3771.2,25.78899955749512,99.5,8.3299999,,3.30698299407959,SubSaharian
180,0.48800001,UGA,4,1343.45,37.599998474121094,45.400001525878906,10.22,10.3,7.222136974334718,SubSaharian
96,0.82800001,LVA,1,16583.67,2.000999927520752,7.5999999046325675,10.37,35.900002,5.880693435668945,EastEurope
118,0.63700002,NAM,4,4521.29,,28.29999923706055,7.8400002,23.799999,8.928688049316406,SubSaharian
183,0.68800002,EGY,3,5598.2598,86.69999694824219,17.89999961853027,0.20999999,23.799999,5.642115116119385,NorthAfrica
151,0.491,SEN,4,1527.99,,45.20000076293945,0.25999999,11.1,4.664971828460693,SubSaharian
122,0.59799999,VUT,9,2877.01,0.2569999992847443,,0.85000002,,5.023574829101563,Pacific
111,,MCO,5,108481.13,,,,,4.337683200836182,WesternDem
143,0.80500001,RUS,1,19063.689,143.4290008544922,8.899999618530273,10.12,39.5,7.070408344268799,EastEurope
30,0.91900003,CAN,5,36577.078,35.49599838256836,4.699999809265137,8.1000004,16.200001,10.44958209991455,WesternDem
26,0.40599999,BDI,4,663.5700099999999,,66.9000015258789,4.1599998,,7.535565376281737,SubSaharian
188,0.79400003,URY,2,12804.84,3.453999996185303,6.199999809265138,6.0300002,24.799999,8.581491470336914,LatAm
35,0.84500003,CHL,2,15519.08,17.81900024414063,7.800000190734862,7.1599998,38.900002,7.785857677459718,LatAm
191,0.70200002,WSM,9,3167.75,0.1920000016689301,,2.1500001,32.0,7.215108871459961,Pacific
40,0.58999997,COG,4,2369.8401,,,3.8199998999999996,18.5,5.151411533355713,SubSaharian
23,0.86400002,BRN,7,46103.84,0.4120000004768372,5.599999904632568,0.97000003,16.4,2.648162841796875,SouthEastAsia
